usage_id,service_call_id,part_id,quantity_used,usage_date
116,51,68,2,2024-08-09
117,52,169,4,2024-11-08
118,53,121,4,2025-04-25
119,53,179,3,2025-04-25
120,53,117,2,2025-04-25
121,54,38,4,2025-04-07
122,56,111,3,2025-01-26
123,56,5,5,2025-01-26
124,56,33,1,2025-01-26
125,56,50,5,2025-01-26
126,57,43,3,2024-09-23
127,57,25,1,2024-09-23
128,58,61,3,2025-01-31
129,58,131,1,2025-01-31
130,58,44,1,2025-01-31
131,58,73,2,2025-01-31
132,59,87,5,2025-01-21
133,59,190,1,2025-01-21
134,60,1,2,2024-08-23
135,60,30,3,2024-08-23
136,60,23,3,2024-08-23
137,60,134,1,2024-08-23
138,61,184,4,2025-01-16
139,61,184,3,2025-01-16
140,62,189,2,2024-11-02
141,64,86,3,2024-10-05
142,65,119,5,2025-02-12
143,66,20,5,2024-08-31
144,66,158,5,2024-08-31
145,66,19,1,2024-08-31
146,66,7,5,2024-08-31
147,67,136,4,2025-01-02
148,68,85,2,2024-11-30
149,68,10,4,2024-11-30
150,70,28,3,2025-06-30
151,70,77,4,2025-06-30
152,70,12,5,2025-06-30
153,70,85,4,2025-06-30
154,71,198,1,2024-07-23
155,71,12,5,2024-07-23
156,71,26,4,2024-07-23
157,72,171,5,2025-01-20
158,72,33,4,2025-01-20
159,72,189,2,2025-01-20
160,73,2,5,2025-03-17
161,73,169,4,2025-03-17
162,75,116,1,2025-02-02
163,75,22,5,2025-02-02
164,75,152,1,2025-02-02
165,75,61,3,2025-02-02
166,76,133,1,2025-01-16
167,76,31,3,2025-01-16
168,76,27,5,2025-01-16
169,78,130,4,2025-07-03
170,78,199,5,2025-07-03
171,81,68,4,2025-04-22
172,81,133,1,2025-04-22
173,81,93,5,2025-04-22
174,81,63,3,2025-04-22
175,82,90,5,2024-10-29
176,82,195,2,2024-10-29
177,82,169,1,2024-10-29
178,83,163,4,2024-08-08
179,83,30,1,2024-08-08
180,84,113,4,2025-05-28
181,84,61,4,2025-05-28
182,84,7,2,2025-05-28
183,84,45,3,2025-05-28
184,85,27,1,2025-01-13
185,85,180,3,2025-01-13
186,86,168,1,2024-12-14
187,86,81,4,2024-12-14
188,86,51,2,2024-12-14
189,86,35,3,2024-12-14
190,87,103,3,2025-05-21
191,87,61,1,2025-05-21
192,87,160,2,2025-05-21
193,88,163,3,2024-08-21
194,88,93,4,2024-08-21
195,88,39,3,2024-08-21
196,89,120,4,2024-11-13
197,89,102,1,2024-11-13
198,89,179,4,2024-11-13
199,89,40,5,2024-11-13
200,90,171,4,2024-12-22
201,91,191,5,2024-09-06
202,92,44,1,2024-11-23
203,92,197,1,2024-11-23
204,94,164,5,2025-07-12
205,94,148,2,2025-07-12
206,95,48,5,2025-01-15
207,96,52,4,2025-04-06
208,96,57,5,2025-04-06
209,96,59,3,2025-04-06
210,96,159,2,2025-04-06
211,97,64,4,2024-08-31
212,99,15,4,2024-08-07
213,99,156,1,2024-08-07
214,100,166,4,2025-07-08
215,100,78,4,2025-07-08
216,101,197,1,2025-01-15
217,101,121,4,2025-01-15
218,101,4,1,2025-01-15
219,101,165,4,2025-01-15
220,102,155,4,2025-04-10
221,102,191,2,2025-04-10
222,103,181,5,2025-02-17
223,103,114,3,2025-02-17
224,104,40,4,2025-06-18
225,104,63,3,2025-06-18
226,104,93,4,2025-06-18
227,105,64,5,2024-08-20
228,106,159,4,2025-06-06
229,107,195,1,2025-01-22
230,108,186,1,2024-07-23
231,108,93,4,2024-07-23
232,108,131,1,2024-07-23
233,110,36,1,2025-03-05
234,110,34,2,2025-03-05
235,111,126,5,2025-07-08
236,111,92,4,2025-07-08
237,111,199,5,2025-07-08
238,111,106,5,2025-07-08
239,112,40,2,2024-08-17
240,112,32,1,2024-08-17
241,112,131,4,2024-08-17
242,112,48,3,2024-08-17
243,113,19,4,2025-06-26
244,113,69,1,2025-06-26
245,113,119,1,2025-06-26
246,113,69,1,2025-06-26
247,114,138,4,2025-04-12
248,114,159,1,2025-04-12
249,115,30,4,2025-02-27
250,116,194,3,2025-07-04
251,116,5,2,2025-07-04
252,116,82,2,2025-07-04
253,116,19,1,2025-07-04
254,117,167,4,2024-12-18
255,117,176,5,2024-12-18
256,117,97,3,2024-12-18
257,117,164,1,2024-12-18
258,118,167,5,2024-07-28
259,118,26,4,2024-07-28
260,118,157,1,2024-07-28
261,119,33,5,2024-10-25
262,120,140,1,2024-08-16
263,121,178,2,2024-08-26
264,121,118,2,2024-08-26
265,122,115,2,2025-07-21
266,122,8,3,2025-07-21
267,122,198,2,2025-07-21
268,123,59,3,2025-07-04
269,124,182,3,2025-05-05
270,127,161,4,2025-01-19
271,127,43,4,2025-01-19
272,127,177,1,2025-01-19
273,128,26,4,2024-08-31
274,128,6,5,2024-08-31
275,128,120,2,2024-08-31
276,129,116,2,2025-02-03
277,129,199,1,2025-02-03
278,129,174,3,2025-02-03
279,129,114,4,2025-02-03
280,130,125,5,2024-08-16
281,130,65,1,2024-08-16
282,132,38,4,2025-01-31
283,133,81,3,2025-07-20
284,133,165,4,2025-07-20
285,133,11,4,2025-07-20
286,133,198,3,2025-07-20
287,135,159,4,2024-08-01
288,136,31,2,2024-10-06
289,137,111,2,2025-06-21
290,137,156,3,2025-06-21
291,138,34,3,2024-07-24
292,138,149,5,2024-07-24
293,138,83,5,2024-07-24
294,138,101,1,2024-07-24
295,139,31,3,2024-11-17
296,139,4,2,2024-11-17
297,139,93,5,2024-11-17
298,140,58,3,2025-03-06
299,141,15,2,2024-08-20
300,141,8,2,2024-08-20
301,144,59,3,2025-03-17
302,144,200,5,2025-03-17
303,145,6,5,2025-02-12
304,145,125,5,2025-02-12
305,145,30,5,2025-02-12
306,146,67,4,2025-06-25
307,148,124,4,2024-09-29
308,149,18,4,2025-05-27
309,149,151,1,2025-05-27
310,150,9,1,2025-03-01
311,150,150,4,2025-03-01
312,150,190,5,2025-03-01
313,150,169,5,2025-03-01
314,151,93,2,2025-01-08
315,151,94,5,2025-01-08
316,151,75,3,2025-01-08
317,151,133,4,2025-01-08
318,152,180,3,2024-11-26
319,153,185,4,2024-08-14
320,153,130,5,2024-08-14
321,154,102,5,2025-07-01
322,155,32,5,2024-10-23
323,155,178,2,2024-10-23
324,155,124,2,2024-10-23
325,156,72,4,2024-09-05
326,157,94,3,2024-10-10
327,157,127,5,2024-10-10
328,157,81,1,2024-10-10
329,158,96,3,2024-12-14
330,158,47,3,2024-12-14
331,159,153,5,2025-02-12
332,160,54,2,2025-03-20
333,160,125,2,2025-03-20
334,161,98,3,2025-03-16
335,162,11,5,2025-04-22
336,162,77,4,2025-04-22
337,163,58,5,2025-05-04
338,163,58,1,2025-05-04
339,164,64,4,2024-08-20
340,164,186,1,2024-08-20
341,166,63,3,2024-09-22
342,168,63,5,2024-09-16
343,169,179,5,2025-04-04
344,171,150,4,2024-08-07
345,171,125,3,2024-08-07
346,171,126,3,2024-08-07
347,172,62,3,2024-08-28
348,172,96,5,2024-08-28
349,173,94,5,2025-06-02
350,173,29,5,2025-06-02
351,173,8,3,2025-06-02
352,173,87,2,2025-06-02
353,175,166,1,2024-11-11
354,175,59,1,2024-11-11
355,175,89,4,2024-11-11
356,176,162,2,2024-07-25
357,177,171,4,2025-05-04
358,177,127,1,2025-05-04
359,179,64,5,2025-01-14
360,180,65,5,2024-11-24
361,180,180,4,2024-11-24
362,180,47,1,2024-11-24
363,180,116,5,2024-11-24
364,184,63,4,2024-11-08
365,184,90,4,2024-11-08
366,184,162,4,2024-11-08
367,184,170,1,2024-11-08
368,186,45,1,2025-06-23
369,186,83,2,2025-06-23
370,186,112,5,2025-06-23
371,186,74,3,2025-06-23
372,188,46,3,2024-10-19
373,188,145,3,2024-10-19
374,188,173,2,2024-10-19
375,189,146,5,2025-03-17
376,189,200,1,2025-03-17
377,189,135,5,2025-03-17
378,190,70,3,2024-10-25
379,191,41,5,2025-03-04
380,193,82,2,2025-07-23
381,193,160,4,2025-07-23
382,193,198,1,2025-07-23
383,193,53,5,2025-07-23
384,194,48,3,2025-07-10
385,194,20,5,2025-07-10
386,196,158,5,2024-09-30
387,196,64,3,2024-09-30
388,196,136,5,2024-09-30
389,197,154,5,2024-12-23
390,197,5,3,2024-12-23
391,197,143,1,2024-12-23
392,197,181,1,2024-12-23
393,199,8,2,2024-09-29
394,199,79,3,2024-09-29
395,199,85,3,2024-09-29
396,200,31,2,2025-07-09
397,200,73,5,2025-07-09
398,202,104,5,2024-12-24
399,202,56,4,2024-12-24
400,202,159,1,2024-12-24
401,202,175,5,2024-12-24
402,203,104,1,2025-07-13
403,203,187,3,2025-07-13
404,203,28,3,2025-07-13
405,204,173,3,2024-10-27
406,204,29,3,2024-10-27
407,204,127,5,2024-10-27
408,205,190,1,2025-06-15
409,205,133,2,2025-06-15
410,206,9,1,2025-05-22
411,206,85,2,2025-05-22
412,206,176,4,2025-05-22
413,206,21,5,2025-05-22
414,207,17,2,2024-12-25
415,207,126,3,2024-12-25
416,207,107,4,2024-12-25
417,207,136,3,2024-12-25
418,208,100,5,2024-08-30
419,208,8,4,2024-08-30
420,209,16,2,2024-09-09
421,211,192,5,2024-10-04
422,211,90,2,2024-10-04
423,211,62,1,2024-10-04
424,212,42,3,2025-06-20
425,212,175,5,2025-06-20
426,212,87,2,2025-06-20
427,212,64,5,2025-06-20
428,213,133,2,2025-02-17
429,213,106,2,2025-02-17
430,213,43,2,2025-02-17
431,213,131,4,2025-02-17
432,214,57,2,2024-10-21
433,214,11,2,2024-10-21
434,214,169,4,2024-10-21
435,216,19,1,2025-06-06
436,216,133,4,2025-06-06
437,218,164,2,2024-11-02
438,218,13,3,2024-11-02
439,218,130,1,2024-11-02
440,219,149,4,2024-10-12
441,219,11,3,2024-10-12
442,219,30,3,2024-10-12
443,219,112,3,2024-10-12
444,220,81,2,2024-07-31
445,222,59,2,2025-01-13
446,222,98,2,2025-01-13
447,222,139,3,2025-01-13
448,223,41,1,2025-05-15
449,223,94,5,2025-05-15
450,223,49,4,2025-05-15
451,224,18,4,2025-05-04
452,225,174,5,2025-06-26
453,225,19,1,2025-06-26
454,225,121,2,2025-06-26
455,225,152,5,2025-06-26
456,226,109,1,2025-06-13
457,226,153,4,2025-06-13
458,226,158,1,2025-06-13
459,228,134,4,2025-07-03
460,228,1,2,2025-07-03
461,228,6,1,2025-07-03
462,229,102,5,2024-07-25
463,229,113,3,2024-07-25
464,229,198,1,2024-07-25
465,229,13,4,2024-07-25
466,231,85,3,2024-07-30
467,231,88,2,2024-07-30
468,231,179,5,2024-07-30
469,231,33,2,2024-07-30
470,232,97,2,2025-02-17
471,232,112,4,2025-02-17
472,232,126,5,2025-02-17
473,232,21,3,2025-02-17
474,233,57,3,2025-06-14
475,233,170,4,2025-06-14
476,234,82,2,2025-04-07
477,235,69,1,2025-03-16
478,235,8,4,2025-03-16
479,236,184,3,2025-06-03
480,236,78,5,2025-06-03
481,236,169,1,2025-06-03
482,237,109,4,2024-11-20
483,237,108,4,2024-11-20
484,237,198,4,2024-11-20
485,237,24,4,2024-11-20
486,238,51,4,2025-03-06
487,238,22,1,2025-03-06
488,238,105,2,2025-03-06
489,239,174,5,2025-07-15
490,239,125,4,2025-07-15
491,240,18,5,2025-01-10
492,240,31,2,2025-01-10
493,241,15,5,2025-07-15
494,241,179,3,2025-07-15
495,242,78,2,2025-06-14
496,242,148,2,2025-06-14
497,242,25,4,2025-06-14
498,242,105,2,2025-06-14
499,243,71,4,2024-10-07
500,244,171,5,2024-10-25
501,244,128,3,2024-10-25
502,244,117,2,2024-10-25
503,244,129,2,2024-10-25
504,245,36,2,2024-11-14
505,245,23,1,2024-11-14
506,245,51,4,2024-11-14
507,245,172,3,2024-11-14
508,246,49,2,2024-11-06
509,246,122,1,2024-11-06
510,247,199,1,2024-10-25
511,247,189,5,2024-10-25
512,248,41,5,2024-10-29
513,249,145,5,2025-05-28
514,250,200,5,2025-01-29
515,251,39,5,2024-08-23
516,251,44,2,2024-08-23
517,252,147,3,2024-10-29
518,252,156,5,2024-10-29
519,252,36,2,2024-10-29
520,253,118,3,2025-01-07
521,253,92,5,2025-01-07
522,253,55,5,2025-01-07
523,253,165,2,2025-01-07
524,254,130,2,2024-11-16
525,254,194,4,2024-11-16
526,254,124,1,2024-11-16
527,254,128,2,2024-11-16
528,255,13,1,2025-05-17
529,255,112,5,2025-05-17
530,255,102,3,2025-05-17
531,255,52,2,2025-05-17
532,256,165,1,2025-05-02
533,257,174,2,2024-11-24
534,257,51,5,2024-11-24
535,257,49,5,2024-11-24
536,259,123,4,2025-02-01
537,259,169,1,2025-02-01
538,260,26,4,2024-08-19
539,260,34,2,2024-08-19
540,260,104,3,2024-08-19
541,262,68,4,2025-06-30
542,263,56,3,2024-08-29
543,264,41,4,2025-04-07
544,264,129,2,2025-04-07
545,264,35,2,2025-04-07
546,264,92,2,2025-04-07
547,265,95,4,2024-08-14
548,265,34,5,2024-08-14
549,266,8,1,2024-09-24
550,266,171,1,2024-09-24
551,267,62,2,2024-07-31
552,267,185,1,2024-07-31
553,267,144,5,2024-07-31
554,268,79,1,2025-04-20
555,269,74,4,2024-08-13
556,269,127,3,2024-08-13
557,269,43,1,2024-08-13
558,269,39,1,2024-08-13
559,270,82,2,2025-04-17
560,270,52,4,2025-04-17
561,270,70,4,2025-04-17
562,270,125,2,2025-04-17
563,271,129,4,2025-02-13
564,271,182,3,2025-02-13
565,271,136,5,2025-02-13
566,272,198,2,2025-01-17
567,272,20,2,2025-01-17
568,272,74,1,2025-01-17
569,272,21,2,2025-01-17
570,273,110,1,2025-02-03
571,274,186,5,2025-01-11
572,274,163,1,2025-01-11
573,275,81,5,2025-03-04
574,275,1,2,2025-03-04
575,275,85,4,2025-03-04
576,275,68,4,2025-03-04
577,276,172,5,2024-08-04
578,277,72,1,2025-06-22
579,279,4,4,2024-10-21
580,279,192,4,2024-10-21
581,279,121,3,2024-10-21
582,280,188,3,2025-02-20
583,281,37,1,2025-03-27
584,281,123,4,2025-03-27
585,282,178,1,2024-10-28
586,282,154,1,2024-10-28
587,282,184,3,2024-10-28
588,283,3,5,2024-10-31
589,283,171,3,2024-10-31
590,285,30,1,2025-05-05
591,287,113,1,2025-06-08
592,287,57,1,2025-06-08
593,288,39,2,2025-05-25
594,288,131,5,2025-05-25
595,288,144,5,2025-05-25
596,290,99,1,2024-11-02
597,290,156,1,2024-11-02
598,291,12,1,2025-03-06
599,292,123,2,2024-11-16
600,292,129,1,2024-11-16
601,292,128,4,2024-11-16
602,292,168,4,2024-11-16
603,293,147,5,2025-01-07
604,294,12,3,2025-01-24
605,294,93,1,2025-01-24
606,294,56,4,2025-01-24
607,295,6,1,2024-10-31
608,296,147,2,2024-11-24
609,296,147,4,2024-11-24
610,296,109,4,2024-11-24
611,298,35,5,2024-12-21
612,300,147,3,2025-03-27
613,300,73,5,2025-03-27
614,300,170,5,2025-03-27
615,300,191,3,2025-03-27
616,304,155,2,2025-04-10
617,304,129,1,2025-04-10
618,306,193,2,2025-02-26
619,306,9,1,2025-02-26
620,306,168,2,2025-02-26
621,308,160,3,2024-10-11
622,309,85,2,2025-07-13
623,309,7,1,2025-07-13
624,309,140,3,2025-07-13
625,310,177,2,2025-05-29
626,311,77,1,2025-07-03
627,311,101,4,2025-07-03
628,311,94,3,2025-07-03
629,312,148,5,2025-03-18
630,313,165,3,2024-07-24
631,313,98,3,2024-07-24
632,313,133,3,2024-07-24
633,314,5,4,2024-11-21
634,315,102,4,2024-09-08
635,315,177,5,2024-09-08
636,315,175,1,2024-09-08
637,316,100,4,2025-06-23
638,316,85,4,2025-06-23
639,316,138,3,2025-06-23
640,316,54,3,2025-06-23
641,317,183,1,2024-07-28
642,317,152,1,2024-07-28
643,318,129,1,2025-05-31
644,318,125,2,2025-05-31
645,318,79,1,2025-05-31
646,319,100,2,2024-11-01
647,319,92,1,2024-11-01
648,319,191,4,2024-11-01
649,319,102,4,2024-11-01
650,321,144,4,2025-01-25
651,321,191,3,2025-01-25
652,322,186,1,2025-05-26
653,322,176,2,2025-05-26
654,322,48,1,2025-05-26
655,322,54,4,2025-05-26
656,323,188,4,2025-04-25
657,323,146,1,2025-04-25
658,323,55,5,2025-04-25
659,323,10,4,2025-04-25
660,324,145,4,2024-08-31
661,324,99,1,2024-08-31
662,325,125,4,2024-09-03
663,325,85,2,2024-09-03
664,325,24,2,2024-09-03
665,325,30,1,2024-09-03
666,326,76,5,2024-09-30
667,326,174,5,2024-09-30
668,328,22,3,2025-04-14
669,328,55,3,2025-04-14
670,328,183,2,2025-04-14
671,328,160,1,2025-04-14
672,329,122,4,2024-11-03
673,329,153,4,2024-11-03
674,329,50,3,2024-11-03
675,330,195,5,2024-08-19
676,330,5,4,2024-08-19
677,330,148,1,2024-08-19
678,331,61,3,2025-04-25
679,331,12,3,2025-04-25
680,331,29,5,2025-04-25
681,332,68,3,2024-07-25
682,332,131,2,2024-07-25
683,332,21,4,2024-07-25
684,333,73,3,2025-06-02
685,333,135,5,2025-06-02
686,333,162,1,2025-06-02
687,333,115,1,2025-06-02
688,335,73,4,2024-09-13
689,335,104,4,2024-09-13
690,336,186,2,2025-03-07
691,336,143,5,2025-03-07
692,337,137,5,2025-05-14
693,337,85,4,2025-05-14
694,338,126,3,2024-09-26
695,338,33,2,2024-09-26
696,338,39,2,2024-09-26
697,338,12,2,2024-09-26
698,339,2,4,2024-10-29
699,339,50,2,2024-10-29
700,339,57,1,2024-10-29
701,340,196,4,2025-05-27
702,340,18,3,2025-05-27
703,340,186,5,2025-05-27
704,341,141,1,2025-04-06
705,342,90,3,2024-10-02
706,342,102,3,2024-10-02
707,342,92,4,2024-10-02
708,343,80,1,2024-10-03
709,343,123,2,2024-10-03
710,344,157,2,2024-10-17
711,345,73,2,2024-10-17
712,345,99,3,2024-10-17
713,346,197,2,2024-10-23
714,347,18,5,2024-12-31
715,348,151,4,2025-02-03
716,348,116,5,2025-02-03
717,349,66,4,2025-02-09
718,349,158,1,2025-02-09
719,350,96,5,2025-04-18
720,350,107,1,2025-04-18
721,350,65,5,2025-04-18
722,350,188,4,2025-04-18
723,353,114,5,2025-03-11
724,353,14,3,2025-03-11
725,355,29,5,2025-04-21
726,355,21,3,2025-04-21
727,356,194,3,2024-09-10
728,356,179,5,2024-09-10
729,356,109,2,2024-09-10
730,357,19,1,2024-12-23
731,357,168,1,2024-12-23
732,357,37,1,2024-12-23
733,358,8,3,2024-08-10
734,358,155,3,2024-08-10
735,360,69,4,2024-12-21
736,360,144,5,2024-12-21
737,360,182,1,2024-12-21
738,360,52,3,2024-12-21
739,361,148,5,2024-07-24
740,361,12,3,2024-07-24
741,361,91,5,2024-07-24
742,362,182,4,2024-09-23
743,362,23,4,2024-09-23
744,363,38,2,2025-03-31
745,364,34,5,2024-10-10
746,364,7,5,2024-10-10
747,367,137,5,2024-10-09
748,367,139,4,2024-10-09
749,367,80,2,2024-10-09
750,367,128,3,2024-10-09
751,368,134,2,2024-08-14
752,368,47,4,2024-08-14
753,368,62,2,2024-08-14
754,369,83,2,2024-10-12
755,369,132,2,2024-10-12
756,369,78,3,2024-10-12
757,369,48,4,2024-10-12
758,370,38,5,2025-03-02
759,370,85,5,2025-03-02
760,370,156,2,2025-03-02
761,371,39,3,2024-12-11
762,371,141,2,2024-12-11
763,371,66,1,2024-12-11
764,371,183,1,2024-12-11
765,373,103,4,2025-03-18
766,373,160,2,2025-03-18
767,373,191,3,2025-03-18
768,373,196,3,2025-03-18
769,376,105,1,2024-10-07
770,376,47,4,2024-10-07
771,376,94,5,2024-10-07
772,377,8,2,2025-07-20
773,377,24,1,2025-07-20
774,378,40,4,2025-01-28
775,378,13,5,2025-01-28
776,378,24,1,2025-01-28
777,378,105,1,2025-01-28
778,379,118,3,2024-07-24
779,379,124,1,2024-07-24
780,379,136,1,2024-07-24
781,380,101,1,2025-04-05
782,380,81,1,2025-04-05
783,380,193,5,2025-04-05
784,381,63,1,2025-07-05
785,381,200,3,2025-07-05
786,382,18,3,2025-06-25
787,382,16,5,2025-06-25
788,383,178,3,2024-10-27
789,383,58,1,2024-10-27
790,383,188,1,2024-10-27
791,386,117,5,2025-02-27
792,386,99,5,2025-02-27
793,387,57,5,2024-11-09
794,387,169,3,2024-11-09
795,388,147,5,2025-07-16
796,388,83,5,2025-07-16
797,388,50,1,2025-07-16
798,388,32,4,2025-07-16
799,389,121,3,2025-07-12
800,389,121,2,2025-07-12
801,389,128,2,2025-07-12
802,389,179,5,2025-07-12
803,391,25,1,2025-01-02
804,392,65,5,2024-12-08
805,392,65,2,2024-12-08
806,393,85,5,2024-12-11
807,394,78,2,2025-07-23
808,395,46,2,2024-11-14
809,395,44,4,2024-11-14
810,395,68,1,2024-11-14
811,395,108,2,2024-11-14
812,396,40,2,2025-06-28
813,397,109,5,2025-03-16
814,397,71,4,2025-03-16
815,397,130,5,2025-03-16
816,398,198,3,2025-06-23
817,398,151,5,2025-06-23
818,398,70,3,2025-06-23
819,399,101,4,2025-07-17
820,399,196,3,2025-07-17
821,399,159,1,2025-07-17
822,400,44,4,2025-05-08
823,400,66,5,2025-05-08
824,401,73,5,2025-07-03
825,402,2,3,2024-12-11
826,404,48,5,2024-12-07
827,404,63,1,2024-12-07
828,404,157,1,2024-12-07
829,405,21,4,2025-02-07
830,406,142,4,2024-11-20
831,406,167,4,2024-11-20
832,406,190,4,2024-11-20
833,406,200,2,2024-11-20
834,407,109,2,2025-03-17
835,408,25,2,2024-08-02
836,409,65,5,2024-11-04
837,410,11,3,2025-02-27
838,410,120,2,2025-02-27
839,412,77,2,2025-01-18
840,413,58,4,2025-03-24
841,413,195,1,2025-03-24
842,413,194,1,2025-03-24
843,414,88,1,2025-07-11
844,414,165,3,2025-07-11
845,414,15,1,2025-07-11
846,414,121,3,2025-07-11
847,415,135,1,2025-04-06
848,415,28,1,2025-04-06
849,415,134,1,2025-04-06
850,416,55,1,2024-09-11
851,417,168,4,2024-12-27
852,417,1,2,2024-12-27
853,418,97,5,2025-03-22
854,419,45,5,2024-08-19
855,419,4,3,2024-08-19
856,419,16,3,2024-08-19
857,419,95,3,2024-08-19
858,421,124,4,2024-08-23
859,421,200,1,2024-08-23
860,421,40,1,2024-08-23
861,422,103,1,2025-03-29
862,422,194,2,2025-03-29
863,422,2,4,2025-03-29
864,424,51,3,2025-03-22
865,424,134,5,2025-03-22
866,424,59,4,2025-03-22
867,424,134,2,2025-03-22
868,425,69,2,2025-02-02
869,425,167,4,2025-02-02
870,425,34,1,2025-02-02
871,425,96,4,2025-02-02
872,426,198,1,2024-10-25
873,426,15,5,2024-10-25
874,426,92,5,2024-10-25
875,426,63,5,2024-10-25
876,427,62,1,2025-01-23
877,427,130,3,2025-01-23
878,427,127,2,2025-01-23
879,427,32,1,2025-01-23
880,428,102,1,2025-06-29
881,428,16,1,2025-06-29
882,428,50,5,2025-06-29
883,429,149,3,2024-12-10
884,429,192,1,2024-12-10
885,429,116,2,2024-12-10
886,430,41,1,2025-05-17
887,430,182,2,2025-05-17
888,430,91,1,2025-05-17
889,431,92,1,2025-05-11
890,431,186,1,2025-05-11
891,431,120,3,2025-05-11
892,431,128,1,2025-05-11
893,432,102,5,2024-08-18
894,432,73,3,2024-08-18
895,433,73,3,2024-09-19
896,434,73,3,2024-08-11
897,434,157,1,2024-08-11
898,434,112,2,2024-08-11
899,435,64,2,2024-10-07
900,435,93,4,2024-10-07
901,435,164,1,2024-10-07
902,436,35,3,2025-07-07
903,436,105,3,2025-07-07
904,436,46,4,2025-07-07
905,437,35,1,2025-07-22
906,437,178,2,2025-07-22
907,437,116,5,2025-07-22
908,437,158,4,2025-07-22
909,438,162,5,2025-07-16
910,438,89,2,2025-07-16
911,438,57,1,2025-07-16
912,439,70,1,2025-06-17
913,439,64,1,2025-06-17
914,439,196,2,2025-06-17
915,440,116,5,2024-09-01
916,440,180,2,2024-09-01
917,440,16,4,2024-09-01
918,442,22,5,2024-10-17
919,442,65,5,2024-10-17
920,443,64,4,2024-09-04
921,443,54,1,2024-09-04
922,443,190,5,2024-09-04
923,443,182,1,2024-09-04
924,444,187,4,2025-04-12
925,444,192,2,2025-04-12
926,444,147,2,2025-04-12
927,444,7,1,2025-04-12
928,447,115,1,2025-04-10
929,447,189,5,2025-04-10
