part_id,part_name,part_category,unit_cost,supplier
106,Valve - Fill,Coil,14.0,Werner LLC
107,Capacitor - Job,Filter,235.83,Hicks Group
108,Fan Motor - Fall,Fan Motor,498.03,Sawyer-Nelson
109,Valve - Civil,Fan Motor,21.62,"Davenport, Berry and Parker"
110,Thermostat - Bar,Compressor,189.61,Macias-Gibson
111,Fan Motor - Education,Thermostat,199.76,"Wallace, Perez and Jennings"
112,Contactor - Plant,Compressor,343.96,"Taylor, Gentry and Johnson"
113,Compressor - Civil,Ductwork,431.96,Gomez-Jones
114,Capacitor - Offer,Refrigerant,178.43,Perez-Johnson
115,Valve - Appear,Contactor,45.87,Davidson and Sons
116,Valve - Study,Thermostat,314.96,Lloyd-Brown
117,Thermostat - Lose,Thermostat,244.45,Evans Group
118,Fan Motor - Total,Fan Motor,226.05,Burns-Thompson
119,Capacitor - Onto,Capacitor,377.01,Lewis-Melendez
120,Refrigerant - Husband,Thermostat,233.41,Ruiz LLC
121,Compressor - Suffer,Contactor,117.06,"Young, Long and Mitchell"
122,Contactor - Perform,Thermostat,296.5,Monroe Inc
123,Filter - Whether,Coil,68.76,Russell LLC
124,Capacitor - Else,Contactor,327.39,Gray-Munoz
125,Capacitor - Learn,Compressor,109.04,Wong-Clayton
126,Compressor - Happen,Ductwork,222.68,Maynard-Benjamin
127,Ductwork - Activity,Thermostat,468.83,"Smith, Avila and Berry"
128,Thermostat - Career,Refrigerant,424.72,"Wallace, Dillon and Rogers"
129,Ductwork - Build,Thermostat,107.83,Jackson Ltd
130,Refrigerant - Real,Capacitor,159.39,"Medina, Edwards and Jones"
131,Thermostat - Anything,Coil,47.11,"Campos, King and Franklin"
132,Contactor - Six,Ductwork,83.76,Clayton-Anderson
133,Thermostat - Trip,Coil,424.53,Austin-May
134,Capacitor - Until,Coil,185.97,"Smith, Sawyer and Jackson"
135,Contactor - Affect,Capacitor,413.69,"Cardenas, Turner and Simpson"
136,Filter - Return,Capacitor,286.48,"Johns, Goodwin and Lee"
137,Filter - Face,Fan Motor,407.96,Mendez Group
138,Ductwork - Service,Fan Motor,297.53,Lucero-Oconnor
139,Filter - Mrs,Filter,138.57,"Salas, Lopez and Walker"
140,Ductwork - Although,Capacitor,296.18,Holland LLC
141,Thermostat - Do,Ductwork,207.89,Nguyen-White
142,Capacitor - Bad,Refrigerant,251.17,"Maldonado, Lloyd and Hancock"
143,Contactor - Audience,Refrigerant,13.8,"Benson, Scott and Lewis"
144,Capacitor - Many,Thermostat,432.43,"Warren, Robinson and Ward"
145,Ductwork - Quite,Valve,107.81,Maxwell Inc
146,Refrigerant - Guess,Ductwork,454.31,"Wyatt, Benitez and Huang"
147,Valve - Final,Compressor,197.18,Orozco-Ross
148,Contactor - Do,Valve,185.21,"Johnson, Thomas and Gray"
149,Ductwork - Condition,Thermostat,127.65,"Ortiz, Baker and Mitchell"
150,Ductwork - Production,Contactor,228.28,"Ford, Fowler and Stone"
151,Compressor - Interest,Coil,279.3,Adams and Sons
152,Thermostat - Bank,Valve,120.31,"Nelson, Reeves and Gutierrez"
153,Fan Motor - Leg,Refrigerant,278.43,"Frazier, Carter and Gonzales"
154,Valve - Candidate,Filter,9.37,Hess-Johnson
155,Filter - Election,Filter,75.71,"Johnson, Jones and Miller"
156,Filter - Only,Coil,294.98,"Ward, Elliott and Cox"
157,Ductwork - She,Thermostat,247.14,Jones-Peterson
158,Valve - Plan,Filter,34.7,"Petersen, Johnson and Davis"
159,Coil - Mean,Fan Motor,412.2,Frazier-Blackwell
160,Filter - Arm,Compressor,192.14,Mejia-Davis
161,Compressor - Ago,Fan Motor,310.42,"Scott, Burgess and Jenkins"
162,Refrigerant - Why,Capacitor,391.42,"King, Smith and Guzman"
163,Valve - Collection,Thermostat,306.17,Gray LLC
164,Capacitor - Fight,Valve,480.86,"Jordan, Rodriguez and Smith"
165,Valve - Carry,Thermostat,116.77,King-Washington
166,Thermostat - Down,Compressor,85.62,Taylor PLC
167,Coil - Than,Coil,239.39,Smith-Wilson
168,Capacitor - Land,Filter,299.01,"Thompson, Johnson and Clark"
169,Refrigerant - Way,Contactor,476.5,Blair-Hunt
170,Ductwork - Claim,Thermostat,155.41,Harding-Middleton
171,Compressor - Mean,Contactor,233.32,Little Inc
172,Thermostat - Collection,Capacitor,499.89,Lewis PLC
173,Coil - I,Coil,347.23,Blankenship Inc
174,Contactor - First,Valve,333.5,Oneill-Anderson
175,Compressor - Present,Capacitor,182.88,Ramirez-Parsons
176,Coil - Enough,Ductwork,22.66,"Sampson, Chan and Cordova"
177,Ductwork - Item,Refrigerant,299.26,Gutierrez Group
178,Filter - Too,Compressor,31.69,Mills-Branch
179,Valve - Police,Capacitor,131.15,Hutchinson-Schneider
180,Valve - Family,Refrigerant,54.84,"Neal, Oliver and Taylor"
181,Refrigerant - Significant,Coil,81.15,"Taylor, Humphrey and Thomas"
182,Capacitor - Face,Compressor,302.17,Torres-Williams
183,Refrigerant - Build,Refrigerant,115.95,Ramos-Bowen
184,Valve - Believe,Contactor,138.87,Lawrence-Russell
185,Valve - Receive,Thermostat,192.27,"Smith, Benton and Goodwin"
186,Coil - Reduce,Fan Motor,257.71,"Mccann, Thompson and Hood"
187,Ductwork - Whole,Capacitor,41.46,Walker-Chapman
188,Capacitor - Seek,Ductwork,375.76,Jackson-Dodson
189,Capacitor - Continue,Fan Motor,262.32,"Cook, Williams and Robinson"
190,Filter - Boy,Coil,289.46,"Ochoa, Harmon and Mitchell"
191,Coil - Rule,Thermostat,78.4,"Hill, Soto and Bennett"
192,Thermostat - Move,Fan Motor,179.08,Woods PLC
193,Valve - Full,Thermostat,405.01,"Reed, Macias and Walker"
194,Filter - Drive,Contactor,466.79,"Martin, Reyes and Shields"
195,Filter - Mind,Refrigerant,411.4,"Jimenez, Ruiz and Garrett"
196,Thermostat - Our,Fan Motor,402.74,Mayo Ltd
197,Compressor - Boy,Fan Motor,258.49,"Johnson, Sullivan and Howard"
198,Compressor - Whom,Contactor,362.78,Hamilton Ltd
199,Ductwork - Final,Ductwork,224.3,"Horton, Berg and Jordan"
200,Fan Motor - Court,Fan Motor,420.33,Wilson-Roach
