service_call_id,customer_id,technician_id,equipment_id,service_date,service_type,duration_hours,labor_cost,parts_cost,total_cost
83,487,2,41,2025-01-05,Maintenance,6.7,489.1,12.6,501.70000000000005
84,374,8,46,2025-03-20,Maintenance,3.8,250.8,252.66,503.46000000000004
85,89,3,16,2025-04-03,Inspection,2.7,256.5,56.94,313.44
86,243,3,1,2025-03-14,Repair,7.0,504.0,185.88,689.88
87,217,14,41,2025-04-06,Repair,7.3,408.8,223.39,632.19
88,373,2,50,2025-05-29,Emergency,4.9,426.3,156.09,582.39
89,301,10,15,2024-10-14,Repair,5.7,558.6,92.11,650.71
90,86,3,47,2025-04-20,Emergency,4.3,313.9,169.62,483.52
91,213,6,32,2025-04-04,Installation,4.5,301.5,276.76,578.26
92,499,9,23,2024-12-29,Emergency,2.4,127.2,109.36,236.56
93,27,10,43,2024-11-19,Installation,7.9,782.1,202.93,985.03
94,112,12,28,2024-10-19,Inspection,1.4,98.0,181.43,279.43
95,159,10,34,2024-11-12,Installation,2.7,197.1,202.63,399.73
96,135,3,16,2024-12-05,Inspection,4.2,352.8,237.46,590.26
97,63,11,17,2025-06-21,Installation,5.0,250.0,249.24,499.24
98,97,5,4,2024-12-13,Emergency,7.1,504.1,40.35,544.45
99,409,2,50,2025-01-26,Emergency,6.4,620.8,206.41,827.2099999999999
100,131,14,10,2025-01-17,Maintenance,7.2,532.8,1.54,534.3399999999999
101,441,3,45,2025-04-13,Inspection,6.3,611.1,85.29,696.39
102,38,11,30,2025-07-26,Maintenance,5.7,330.6,84.97,415.57000000000005
103,441,4,22,2024-11-23,Inspection,5.9,336.3,168.8,505.1
104,85,14,20,2024-11-15,Maintenance,7.4,592.0,149.39,741.39
105,233,1,20,2024-09-22,Installation,2.4,223.2,201.7,424.9
106,173,3,47,2025-02-05,Inspection,2.4,163.2,60.43,223.63
107,9,5,46,2024-08-14,Maintenance,4.9,450.8,141.44,592.24
108,23,6,8,2024-12-15,Inspection,6.9,600.3,83.62,683.92
109,296,2,9,2025-02-22,Inspection,6.3,598.5,90.57,689.0699999999999
110,454,3,47,2025-07-03,Installation,1.3,117.0,167.26,284.26
111,73,9,14,2025-05-13,Maintenance,4.6,446.2,260.32,706.52
112,391,15,48,2024-12-05,Repair,5.9,371.7,49.33,421.03
113,451,14,36,2025-05-15,Maintenance,2.1,144.9,168.99,313.89
114,296,10,11,2025-05-06,Inspection,3.4,227.8,283.67,511.47
115,241,4,34,2025-02-03,Emergency,2.9,174.0,194.58,368.58000000000004
116,217,6,32,2024-08-05,Installation,4.4,228.8,275.4,504.2
117,487,9,37,2024-12-28,Inspection,1.8,171.0,132.54,303.53999999999996
118,36,15,32,2025-01-31,Installation,1.2,76.8,174.65,251.45
119,242,1,36,2025-06-23,Installation,3.2,310.4,147.62,458.02
120,234,11,34,2025-01-05,Emergency,1.4,131.6,153.7,285.29999999999995
121,115,8,13,2025-02-28,Installation,5.8,504.6,48.27,552.87
122,371,7,3,2024-12-10,Maintenance,3.1,282.1,9.81,291.91
123,149,6,33,2024-11-03,Emergency,5.2,312.0,96.85,408.85
124,172,14,34,2025-01-10,Emergency,4.4,391.6,155.26,546.86
125,209,10,50,2025-01-17,Maintenance,7.7,700.7,40.05,740.75
126,127,7,36,2024-09-19,Maintenance,3.3,224.4,72.56,296.96000000000004
127,309,15,44,2025-05-04,Installation,1.9,165.3,209.74,375.04
128,306,7,17,2024-12-08,Emergency,2.1,199.5,211.82,411.32
129,446,15,48,2025-03-23,Inspection,6.7,482.4,35.15,517.55
130,174,6,45,2025-07-29,Installation,7.4,569.8,171.03,740.8299999999999
131,11,11,23,2025-02-12,Emergency,5.2,494.0,54.62,548.62
132,161,9,29,2025-02-25,Repair,4.1,295.2,181.7,476.9
133,275,13,42,2025-02-08,Emergency,4.7,253.8,267.96,521.76
134,31,4,3,2025-05-04,Inspection,7.4,518.0,29.84,547.84
135,94,10,45,2025-04-25,Emergency,4.5,400.5,250.94,651.44
136,124,6,11,2025-01-07,Inspection,7.4,658.6,106.28,764.88
137,495,3,25,2025-07-07,Inspection,6.9,524.4,45.06,569.46
138,437,13,12,2025-05-28,Repair,1.5,90.0,46.5,136.5
139,126,8,36,2024-09-28,Installation,4.5,261.0,182.04,443.03999999999996
140,84,3,27,2025-04-07,Maintenance,1.9,188.1,231.73,419.83
141,416,5,6,2025-04-18,Maintenance,5.2,410.8,275.29,686.09
142,182,4,29,2025-08-01,Installation,2.8,182.0,7.23,189.23
143,53,9,20,2024-10-01,Repair,2.8,145.6,94.05,239.64999999999998
144,268,11,18,2025-01-11,Inspection,2.0,188.0,192.68,380.68
145,440,3,50,2025-06-08,Emergency,4.9,450.8,186.28,637.08
146,95,3,14,2024-12-03,Repair,7.1,681.6,98.47,780.07
147,25,15,35,2024-10-31,Repair,2.2,189.2,68.6,257.79999999999995
148,22,3,32,2025-01-07,Emergency,4.0,312.0,244.08,556.08
149,67,10,16,2024-08-27,Installation,7.5,495.0,170.75,665.75
150,168,10,24,2025-03-06,Inspection,4.9,382.2,203.05,585.25
151,132,5,25,2025-07-14,Repair,5.9,548.7,282.36,831.0600000000001
152,31,15,16,2024-11-04,Inspection,5.2,483.6,248.48,732.08
153,167,8,2,2025-04-08,Installation,1.5,117.0,64.55,181.55
154,268,9,28,2025-01-16,Maintenance,3.5,304.5,152.6,457.1
155,156,2,40,2024-09-07,Inspection,3.7,321.9,41.39,363.28999999999996
156,485,13,2,2025-07-18,Inspection,1.3,101.4,192.73,294.13
157,403,1,24,2025-02-07,Emergency,6.3,592.2,138.84,731.0400000000001
158,393,6,2,2025-01-28,Installation,7.6,554.8,177.32,732.1199999999999
159,228,13,36,2025-05-09,Repair,4.0,220.0,127.54,347.54
160,152,4,41,2025-04-24,Inspection,3.5,343.0,291.03,634.03
161,222,13,1,2025-05-29,Inspection,7.4,584.6,151.27,735.87
162,314,8,46,2025-07-17,Inspection,7.9,466.1,1.52,467.62
163,212,2,3,2024-08-11,Repair,4.0,224.0,209.91,433.90999999999997
164,178,6,24,2025-07-01,Emergency,2.9,165.3,3.16,168.46
165,231,11,38,2025-01-15,Repair,1.5,118.5,184.59,303.09000000000003
166,355,10,35,2024-10-17,Emergency,6.0,540.0,238.95,778.95
167,188,7,41,2024-12-21,Installation,7.3,635.1,179.34,814.44
168,304,1,22,2025-02-25,Installation,4.2,306.6,56.86,363.46000000000004
169,175,11,49,2025-07-04,Emergency,6.0,354.0,50.03,404.03
170,215,5,2,2025-03-04,Inspection,5.2,275.6,286.69,562.29
171,431,13,1,2025-02-23,Maintenance,5.4,367.2,31.98,399.18
172,235,10,12,2025-03-27,Repair,3.6,187.2,37.77,224.97
173,350,4,20,2024-12-11,Inspection,1.8,151.2,83.07,234.26999999999998
174,50,13,22,2025-01-04,Repair,5.6,392.0,80.1,472.1
175,488,2,23,2024-10-24,Maintenance,8.0,760.0,169.01,929.01
176,475,12,35,2025-06-24,Repair,3.4,326.4,164.77,491.16999999999996
177,171,10,1,2024-08-14,Maintenance,2.5,197.5,237.08,434.58000000000004
178,75,13,26,2025-04-27,Maintenance,2.9,208.8,181.51,390.31
179,101,8,18,2024-09-25,Maintenance,5.6,537.6,107.15,644.75
180,236,4,44,2025-06-01,Inspection,5.6,420.0,230.38,650.38
181,115,12,2,2024-10-11,Maintenance,3.6,190.8,281.35,472.15000000000003
182,82,8,37,2024-11-01,Installation,1.4,138.6,260.4,399.0
183,261,3,42,2025-02-06,Emergency,6.2,595.2,97.16,692.36
184,71,11,49,2024-10-23,Inspection,4.2,331.8,76.84,408.64
185,115,6,26,2025-08-01,Inspection,5.0,305.0,2.7,307.7
186,344,10,1,2024-10-24,Inspection,4.0,320.0,2.51,322.51
187,468,9,18,2025-02-28,Repair,1.9,138.7,173.57,312.27
188,212,3,38,2025-03-14,Inspection,5.3,413.4,290.12,703.52
189,36,2,5,2024-08-20,Maintenance,2.7,261.9,65.73,327.63
190,242,4,11,2025-05-27,Maintenance,5.8,522.0,178.28,700.28
191,404,13,16,2024-12-12,Inspection,3.1,257.3,272.0,529.3
192,356,12,46,2025-01-20,Maintenance,1.1,92.4,64.05,156.45
193,329,13,20,2024-10-06,Inspection,2.7,202.5,145.09,347.59000000000003
194,212,3,5,2025-04-19,Inspection,5.4,523.8,253.0,776.8
195,7,10,45,2025-02-20,Emergency,6.4,332.8,133.97,466.77
196,15,13,15,2025-02-18,Emergency,6.1,555.1,224.77,779.87
197,481,4,23,2025-05-25,Installation,7.6,638.4,116.28,754.68
198,259,7,12,2024-09-04,Repair,6.3,604.8,154.04,758.8399999999999
199,131,14,10,2025-04-21,Installation,7.2,691.2,185.06,876.26
200,487,6,45,2024-11-07,Installation,2.2,202.4,197.36,399.76
201,2,11,35,2024-12-08,Emergency,3.7,229.4,107.64,337.04
202,262,12,10,2025-03-15,Repair,2.7,221.4,172.77,394.17
203,310,7,19,2025-05-18,Emergency,1.7,159.8,76.58,236.38
204,156,7,19,2025-03-24,Inspection,3.0,171.0,147.68,318.68
205,497,13,18,2024-12-23,Emergency,7.3,642.4,111.8,754.1999999999999
206,321,14,6,2025-01-27,Repair,7.4,518.0,287.56,805.56
207,117,12,27,2025-04-21,Inspection,4.5,418.5,77.89,496.39
208,105,4,17,2024-10-19,Emergency,1.5,150.0,60.18,210.18
209,35,4,36,2025-03-23,Repair,3.8,304.0,138.59,442.59000000000003
210,60,15,31,2024-09-04,Installation,5.5,462.0,282.36,744.36
211,358,8,37,2025-06-08,Emergency,3.9,276.9,89.95,366.84999999999997
212,202,14,50,2024-09-14,Maintenance,2.5,195.0,38.36,233.36
213,286,12,21,2025-01-28,Inspection,2.1,121.8,3.61,125.41
214,369,11,48,2025-02-24,Installation,2.3,147.2,115.1,262.29999999999995
215,116,12,22,2024-10-27,Repair,4.2,273.0,193.45,466.45
216,173,12,43,2024-12-23,Emergency,4.2,252.0,236.24,488.24
217,443,2,30,2025-07-25,Repair,1.9,100.7,204.96,305.66
218,35,11,39,2025-04-27,Installation,3.8,292.6,234.0,526.6
219,255,4,28,2024-11-13,Maintenance,7.7,431.2,160.71,591.91
220,324,2,2,2025-07-28,Maintenance,2.9,255.2,220.89,476.09
221,286,7,31,2025-05-13,Maintenance,1.7,90.1,264.19,354.28999999999996
222,397,4,23,2025-03-25,Maintenance,6.8,666.4,249.83,916.23
223,184,8,16,2024-09-07,Repair,5.2,442.0,115.83,557.83
224,309,15,43,2025-01-16,Emergency,6.1,420.9,18.91,439.81
225,371,1,13,2025-01-24,Repair,3.9,366.6,247.77,614.37
226,417,14,19,2025-07-30,Maintenance,3.1,291.4,80.67,372.07
227,241,13,7,2025-03-05,Inspection,4.0,304.0,151.58,455.58000000000004
228,291,7,23,2025-05-25,Maintenance,7.8,429.0,285.71,714.71
229,183,4,26,2025-02-03,Emergency,1.6,123.2,217.92,341.12
230,124,10,50,2025-06-15,Installation,7.7,723.8,219.9,943.6999999999999
231,384,15,49,2024-12-15,Inspection,2.6,184.6,248.09,432.69
232,418,7,49,2024-09-30,Repair,1.7,95.2,210.26,305.46
233,161,1,34,2025-04-05,Repair,5.7,416.1,170.02,586.12
234,138,4,7,2025-06-19,Installation,5.3,429.3,97.52,526.82
235,34,12,37,2024-11-08,Repair,1.2,70.8,272.89,343.69
236,24,12,49,2025-05-21,Maintenance,4.2,277.2,267.29,544.49
237,22,2,8,2024-12-27,Maintenance,1.9,169.1,94.77,263.87
238,393,14,25,2024-12-10,Installation,1.2,110.4,270.14,380.53999999999996
239,317,3,29,2025-01-04,Repair,5.0,300.0,248.29,548.29
240,98,1,7,2025-05-30,Repair,5.4,513.0,54.49,567.49
241,131,4,26,2025-07-22,Maintenance,7.6,600.4,148.63,749.03
242,67,9,4,2025-01-23,Installation,6.2,446.4,212.84,659.24
243,136,1,17,2025-02-10,Repair,2.8,151.2,199.65,350.85
244,274,8,30,2025-03-24,Emergency,2.9,266.8,293.1,559.9000000000001
245,85,12,17,2025-02-21,Maintenance,3.6,237.6,177.78,415.38
246,470,5,47,2025-04-05,Installation,3.6,190.8,220.77,411.57000000000005
247,484,11,49,2025-02-17,Repair,6.4,460.8,165.58,626.38
248,394,5,22,2024-11-28,Inspection,4.4,224.4,46.94,271.34000000000003
249,455,1,8,2024-08-25,Installation,1.7,163.2,102.69,265.89
250,73,10,7,2024-11-07,Emergency,7.9,489.8,45.99,535.79
251,9,8,2,2025-04-14,Maintenance,5.9,590.0,106.04,696.04
252,260,12,20,2024-08-08,Emergency,3.2,243.2,10.41,253.60999999999999
253,100,10,18,2024-09-20,Maintenance,5.6,425.6,275.17,700.77
254,435,12,32,2025-07-07,Repair,7.5,472.5,32.36,504.86
255,248,14,37,2024-08-25,Installation,4.7,244.4,263.91,508.31000000000006
256,17,3,21,2025-05-01,Repair,4.8,273.6,215.64,489.24
257,290,6,31,2024-09-02,Inspection,1.2,63.6,116.54,180.14000000000001
258,396,2,24,2025-04-04,Inspection,7.1,667.4,19.09,686.49
259,70,6,31,2025-06-30,Repair,2.4,144.0,154.22,298.22
260,157,2,4,2025-03-28,Inspection,5.4,351.0,94.12,445.12
261,354,14,6,2025-07-24,Repair,1.6,134.4,230.14,364.53999999999996
262,124,9,14,2025-06-28,Maintenance,4.5,400.5,247.5,648.0
263,285,4,47,2025-07-14,Repair,6.6,547.8,94.36,642.16
264,325,8,14,2025-07-26,Installation,6.6,587.4,297.32,884.72
265,234,15,46,2025-05-15,Inspection,6.8,598.4,132.13,730.53
266,376,15,34,2025-05-02,Inspection,7.6,516.8,193.09,709.89
267,318,6,29,2025-01-06,Repair,1.3,91.0,148.79,239.79
268,278,10,50,2025-01-30,Inspection,5.0,390.0,197.39,587.39
269,1,10,12,2025-01-28,Maintenance,5.8,446.6,245.52,692.12
270,422,2,36,2024-12-03,Emergency,1.9,117.8,174.12,291.92
271,164,3,48,2025-07-21,Installation,5.0,260.0,256.58,516.5799999999999
272,418,6,32,2025-07-15,Emergency,5.1,280.5,174.57,455.07
273,202,15,38,2025-02-13,Emergency,2.8,218.4,167.31,385.71000000000004
274,395,12,42,2025-05-28,Maintenance,3.0,243.0,122.62,365.62
275,377,10,23,2024-09-21,Maintenance,4.6,423.2,288.55,711.75
276,355,13,27,2025-02-05,Repair,6.9,489.9,5.83,495.72999999999996
277,468,2,12,2024-09-28,Maintenance,2.8,204.4,224.43,428.83000000000004
278,437,9,35,2024-11-17,Maintenance,4.4,308.0,90.23,398.23
279,7,5,25,2025-02-06,Installation,6.3,403.2,49.89,453.09
280,67,2,20,2025-05-30,Repair,2.0,168.0,45.86,213.86
281,430,8,32,2025-02-02,Repair,2.0,146.0,241.82,387.82
282,11,6,30,2025-07-06,Installation,2.6,223.6,5.19,228.79
283,9,1,27,2025-06-01,Emergency,5.2,260.0,53.12,313.12
284,475,13,48,2024-08-08,Installation,3.4,292.4,84.55,376.95
285,499,12,3,2024-08-10,Installation,7.4,629.0,31.43,660.43
286,489,4,1,2025-05-21,Emergency,6.3,485.1,230.77,715.87
287,341,11,50,2025-07-30,Maintenance,6.6,514.8,246.71,761.51
288,417,3,42,2025-05-11,Repair,6.7,569.5,44.63,614.13
289,273,9,21,2025-07-04,Maintenance,4.2,310.8,276.99,587.79
290,133,11,41,2024-10-28,Repair,1.3,105.3,214.71,320.01
291,187,10,10,2024-09-04,Inspection,4.6,432.4,119.9,552.3
292,456,13,40,2025-06-04,Inspection,6.1,463.6,289.42,753.02
293,265,14,41,2024-11-24,Inspection,5.5,346.5,200.58,547.08
294,436,4,1,2025-03-21,Inspection,6.0,432.0,40.81,472.81
295,480,7,23,2025-02-10,Inspection,1.4,112.0,82.15,194.15
296,21,12,18,2024-08-14,Inspection,4.2,239.4,200.12,439.52
297,131,2,44,2024-12-20,Inspection,4.2,369.6,277.69,647.29
298,58,10,1,2025-05-19,Emergency,3.1,220.1,24.81,244.91
299,290,15,1,2025-04-11,Repair,2.7,167.4,74.33,241.73000000000002
300,181,8,14,2024-08-09,Maintenance,3.0,195.0,254.76,449.76
301,268,1,15,2024-11-02,Emergency,2.9,188.5,107.03,295.53
302,123,12,45,2025-02-10,Installation,3.0,291.0,166.83,457.83000000000004
303,283,4,31,2025-04-10,Maintenance,3.1,173.6,201.34,374.94
304,486,15,28,2025-01-01,Repair,1.5,132.0,57.92,189.92000000000002
305,76,10,15,2025-05-02,Emergency,5.4,340.2,69.45,409.65
306,415,13,31,2025-06-26,Installation,2.3,218.5,0.28,218.78
307,270,1,1,2025-05-26,Emergency,7.5,660.0,281.82,941.8199999999999
308,314,2,1,2025-01-22,Repair,6.2,353.4,52.69,406.09
309,53,8,6,2025-01-22,Emergency,3.9,296.4,103.03,399.42999999999995
310,15,3,2,2025-05-25,Maintenance,1.9,180.5,247.63,428.13
311,260,14,32,2025-07-23,Maintenance,7.6,737.2,56.29,793.49
312,393,6,47,2025-05-07,Emergency,2.6,169.0,252.27,421.27
313,320,1,23,2025-02-22,Installation,2.0,142.0,178.06,320.06
314,172,8,43,2025-05-09,Repair,2.2,187.0,61.73,248.73
315,274,14,20,2024-09-19,Maintenance,2.0,196.0,259.75,455.75
316,463,9,22,2025-02-20,Inspection,7.2,676.8,178.37,855.17
317,382,14,41,2025-04-27,Inspection,1.7,108.8,27.94,136.74
318,320,5,8,2025-04-02,Inspection,5.5,302.5,268.83,571.3299999999999
319,441,3,49,2024-08-28,Repair,6.6,541.2,74.67,615.87
320,119,1,21,2025-03-12,Maintenance,5.0,280.0,149.61,429.61
321,444,10,49,2024-09-23,Repair,7.5,607.5,34.75,642.25
322,439,1,4,2024-08-09,Installation,6.1,610.0,151.46,761.46
323,236,2,36,2025-01-06,Inspection,4.4,330.0,107.21,437.21
324,498,5,42,2024-12-25,Installation,3.3,231.0,192.16,423.15999999999997
325,342,2,12,2025-03-23,Inspection,2.4,141.6,72.28,213.88
326,370,11,31,2024-12-26,Maintenance,5.8,527.8,219.62,747.42
327,406,2,1,2025-06-25,Emergency,3.1,303.8,100.49,404.29
328,46,13,12,2024-10-07,Inspection,5.4,307.8,88.78,396.58000000000004
329,240,12,49,2025-06-29,Repair,6.2,589.0,34.2,623.2
330,403,1,30,2025-04-19,Emergency,6.1,579.5,41.3,620.8
331,177,6,17,2024-11-15,Installation,2.8,277.2,40.03,317.23
332,259,14,43,2024-10-01,Inspection,2.3,216.2,133.96,350.15999999999997
333,57,2,23,2025-07-30,Installation,2.0,142.0,102.2,244.2
334,272,15,10,2024-11-09,Installation,1.5,139.5,14.09,153.59
335,249,1,4,2024-12-24,Emergency,4.2,273.0,59.26,332.26
336,433,10,23,2024-09-11,Repair,1.0,76.0,226.52,302.52
337,437,5,31,2024-08-10,Maintenance,1.8,93.6,219.63,313.23
338,112,12,16,2024-09-29,Repair,3.1,238.7,201.84,440.53999999999996
339,339,10,19,2024-09-07,Maintenance,4.4,365.2,191.88,557.0799999999999
340,103,5,13,2024-08-17,Repair,5.1,448.8,28.3,477.1
341,449,11,44,2025-07-23,Emergency,5.5,330.0,262.46,592.46
342,93,13,13,2025-08-01,Repair,6.5,578.5,101.15,679.65
343,92,9,13,2024-08-29,Maintenance,7.3,576.7,33.82,610.5200000000001
344,353,2,35,2025-01-11,Installation,2.0,108.0,18.46,126.46000000000001
345,306,6,3,2024-12-21,Inspection,1.4,89.6,124.99,214.58999999999997
346,468,9,3,2024-08-17,Emergency,5.7,290.7,133.79,424.49
347,11,12,2,2024-12-05,Emergency,1.3,120.9,235.04,355.94
348,261,2,33,2024-12-13,Installation,5.5,297.0,10.99,307.99
349,448,15,23,2025-03-09,Emergency,3.9,358.8,90.77,449.57
350,426,13,33,2025-06-14,Inspection,1.1,82.5,165.2,247.7
351,26,9,23,2024-08-06,Emergency,2.9,278.4,195.55,473.95
352,64,1,32,2025-07-23,Emergency,3.7,259.0,254.09,513.09
353,445,12,8,2024-09-02,Inspection,4.2,247.8,36.09,283.89
354,457,3,39,2025-04-17,Emergency,3.9,351.0,40.41,391.40999999999997
355,397,11,21,2025-07-25,Inspection,6.5,507.0,48.61,555.61
356,135,7,33,2025-02-15,Maintenance,4.1,225.5,250.46,475.96000000000004
357,397,13,41,2024-08-20,Repair,2.1,149.1,45.67,194.76999999999998
358,89,3,34,2024-12-22,Installation,2.2,173.8,157.42,331.22
359,58,4,23,2025-03-07,Emergency,7.9,426.6,56.45,483.05
360,124,3,34,2024-10-12,Inspection,1.3,123.5,5.71,129.21
361,197,9,35,2024-09-29,Emergency,1.3,74.1,277.12,351.22
362,239,5,7,2025-03-05,Maintenance,6.4,505.6,15.7,521.3000000000001
363,15,7,40,2025-03-09,Installation,5.1,428.4,167.97,596.37
364,85,12,11,2024-08-07,Maintenance,1.1,64.9,8.13,73.03
365,279,2,18,2025-04-10,Maintenance,2.1,176.4,212.58,388.98
366,224,3,24,2025-05-26,Installation,2.3,124.2,5.08,129.28
367,51,13,48,2025-06-10,Maintenance,3.7,273.8,263.92,537.72
368,277,4,11,2024-11-19,Maintenance,6.5,422.5,238.38,660.88
369,238,15,24,2025-02-04,Repair,2.7,143.1,13.78,156.88
370,351,14,5,2024-08-28,Repair,3.9,327.6,283.92,611.52
371,47,9,14,2025-05-05,Emergency,5.0,260.0,186.09,446.09000000000003
372,47,6,1,2024-08-08,Installation,3.4,200.6,171.82,372.41999999999996
373,386,5,26,2025-07-02,Inspection,5.7,387.6,197.38,584.98
374,325,6,19,2025-07-18,Inspection,6.5,526.5,134.68,661.1800000000001
375,163,8,12,2025-06-29,Inspection,2.2,145.2,116.38,261.58
376,331,12,42,2024-08-25,Emergency,2.4,165.6,48.07,213.67
377,307,2,42,2025-07-24,Emergency,5.2,494.0,256.71,750.71
378,197,4,27,2024-12-10,Maintenance,7.2,489.6,244.78,734.38
